Rejection Rates,Phi Values
0.049696,0.0
0.050143,0.1
0.050655,0.2
0.051941,0.30000000000000004
0.055319,0.4
0.062665,0.5
0.075797,0.6000000000000001
0.102893,0.7000000000000001
0.160759,0.8
0.299324,0.9
0.438543,0.95
