Rejection Rates,Phi Values
0.048406,0.0
0.068142,0.1
0.094771,0.2
0.133689,0.30000000000000004
0.195342,0.4
0.296836,0.5
0.460321,0.6000000000000001
0.683268,0.7000000000000001
0.891618,0.8
0.985542,0.9
0.999519,1.0
